incident_name,incident_dateonly_created,incident_county,incident_acres_burned,incident_latitude,incident_longitude,MONTH,DAY_OF_WEEK,SEASON,FIRE_SIZE_CAT
Roblar Fire ,2022-06-27,Sonoma,63.0,38.323263,-122.796221,6,0,Summer,Medium
Redwood Fire,2022-06-27,Marin,113.0,38.163521,-122.574563,6,0,Summer,Medium
Burrows Fire ,2022-06-28,Glenn,317.0,39.713372,-122.55002,6,1,Summer,Large
Camino Fire,2022-06-28,San Luis Obispo,387.0,35.136141,-120.437395,6,1,Summer,Large
Rices Fire,2022-06-28,Nevada,904.0,39.319145,-121.192271,6,1,Summer,Large
Nelson Fire,2022-06-30,Butte,328.0,39.524038,-121.650851,6,3,Summer,Large
Sandra Fire,2022-06-30,Butte,34.0,39.480813,-121.366789,6,3,Summer,Small
Table Fire,2022-07-01,Fresno,52.0,37.013878,-119.576797,7,4,Summer,Medium
Garrison Fire,2022-07-04,Monterey,138.0,35.8640822,-120.819059,7,0,Summer,Medium
Electra Fire,2022-07-04,"Amador, Calaveras",4470.0,38.334802,-120.665415,7,0,Summer,Large
Jan-Dar Fire,2022-07-04,Butte,30.0,39.42972,-121.430071,7,0,Summer,Small
Nome Fire,2022-07-05,Mendocino,20.0,39.8166571,-123.2055576,7,1,Summer,Small
Bay Fire,2022-07-08,Yuba,30.0,39.300253,-121.372749,7,4,Summer,Small
Washburn Fire,2022-07-07,Mariposa,4886.0,37.499,-119.614,7,3,Summer,Large
Porter Fire,2022-07-09,Placer,166.0,39.020051,-121.344587,7,5,Summer,Large
Harbison,2022-07-12,San Diego,37.0,32.7947379,-116.8460273,7,1,Summer,Medium
Herman Fire,2022-07-13,Solano,115.0,38.0936839,-122.1347757,7,2,Summer,Medium
Peter Fire ,2022-07-14,Shasta,304.0,40.4411992,-122.3182313,7,3,Summer,Large
Grant Fire,2022-07-14,Sacramento,74.0,38.5570067,-121.1183895,7,3,Summer,Medium
Rainbow Fire,2022-07-16,Tehama,60.0,40.010233,-122.433855,7,5,Summer,Medium
Riosa Fire,2022-07-17,Placer,38.0,38.9848309,-121.340201,7,6,Summer,Medium
Border 27 Fire,2022-07-17,San Diego,100.0,32.6077664,-116.6077664,7,6,Summer,Medium
Bell Fire,2022-07-17,Mendocino,43.0,39.90557,-123.598273,7,6,Summer,Medium
Agua Fire,2022-07-18,Mariposa,421.0,37.481701,-120.02107,7,0,Summer,Large
