incident_name,incident_dateonly_created,incident_county,incident_acres_burned,incident_latitude,incident_longitude,MONTH,DAY_OF_WEEK,SEASON,FIRE_SIZE_CAT
 Bridge Fire,2017-10-31,Shasta,37.0,40.774,-122.309,10,1,Fall,Medium
Pala Fire,2009-05-24,San Diego,122.0,1.0,1.0,5,6,Spring,Medium
River Fire,2013-02-24,Inyo,407.0,36.602575,-118.01651,2,6,Winter,Large
Fawnskin Fire,2013-04-20,San Bernardino,30.0,34.288877,-116.941311,4,5,Spring,Small
Gold Fire,2013-04-30,Madera,274.0,37.116295,-119.635004,4,1,Spring,Large
Panther Fire,2013-05-01,Tehama,6896.0,40.190062,-121.595555,5,2,Spring,Large
Silverado Fire,2013-04-30,Napa,75.0,38.441792,-122.350844,4,1,Spring,Medium
Yellow Fire,2013-05-01,Sonoma,125.0,38.638828,-122.655616,5,2,Spring,Medium
Summit Fire,2013-05-01,Riverside,2956.0,34.288877,-116.941311,5,2,Spring,Large
Tres Pinos Fire,2013-05-03,San Benito,354.0,37.160346,-120.937494,5,4,Spring,Large
306 Fire,2013-05-01,Glenn,217.0,39.514139,-122.560862,5,2,Spring,Large
Lytle Fire,2013-05-13,San Bernardino,75.0,34.1834,-117.4408,5,0,Spring,Medium
Gorgonio Fire,2013-05-04,Riverside,650.0,33.894055,-116.855019,5,5,Spring,Large
Grand Fire,2013-05-15,"Kern, Ventura",4346.0,34.7861,-118.9411,5,2,Spring,Large
54 Fire,2013-05-16,Riverside,40.0,33.655638,-116.161201,5,3,Spring,Medium
Lake Fire,2013-05-17,Los Angeles,712.0,34.49149,-118.610044,5,4,Spring,Large
Lilly 2 Fire,2013-05-19,Madera,91.0,37.1927,-119.7917,5,6,Spring,Medium
Cottontail Fire,2013-05-20,San Luis Obispo,35.0,35.49864,-120.91375,5,0,Spring,Small
Cherry Fire,2013-05-20,Riverside,25.0,33.96201,-116.907213,5,0,Spring,Small
Water Fire,2013-05-21,Riverside,90.0,33.9582,-116.6534,5,1,Spring,Medium
Shelton Fire,2013-05-30,San Joaquin,303.0,38.04993,-120.90325,5,3,Spring,Large
Border Fire,2013-05-22,San Diego,100.0,32.564465,-116.900368,5,2,Spring,Medium
San Felipe Fire,2013-05-23,San Diego,2650.0,33.12111,-116.52579,5,3,Spring,Large
Homestead Fire,2013-05-25,San Luis Obispo,50.0,35.5123,-120.6368,5,5,Spring,Medium
Smiley Fire,2013-05-25,Riverside,124.0,33.963591,-117.187934,5,5,Spring,Medium
General Fire,2013-05-26,San Diego,2500.0,33.04458,-116.5209,5,6,Spring,Large
White Fire,2013-05-27,Santa Barbara,1984.0,34.55048,-119.82429,5,0,Spring,Large
Magic Fire,2013-05-28,Los Angeles,149.0,34.419284,-118.58688,5,1,Spring,Medium
Olive Fire,2013-05-28,Santa Barbara,170.0,34.611824,-120.074655,5,1,Spring,Large
Branch Fire,2013-06-01,San Luis Obispo,500.0,35.15832,-120.05131,6,5,Summer,Large
Murphy Fire,2013-06-02,Tuolumne,100.0,37.91529,-120.33313,6,6,Summer,Medium
Lone Fire,2013-06-03,Butte,298.0,39.434183,-121.576804,6,0,Summer,Large
Hathaway Fire,2013-06-09,Riverside,0.0,33.99647,-116.84137,6,6,Summer,Small
Sonoma-Lake-Napa Unit Lightning Fires,2013-06-10,"Sonoma, Solano, Lake, Colusa",28.0,38.4229,-122.0437,6,0,Summer,Small
152 Fire,2013-06-04,Merced,124.0,37.03776,-121.006939,6,1,Summer,Medium
Lake Fire,2013-06-05,Lake,30.0,38.99233,-122.703193,6,2,Summer,Small
Powerhouse Fire,2013-05-30,Los Angeles,30274.0,34.585595,-118.423176,5,3,Spring,Large
Vasco Fire,2013-06-08,Alameda,240.0,37.775057,-121.737213,6,5,Summer,Large
Viper Fire,2013-06-08,Riverside,42.0,33.96936,-117.1265,6,5,Summer,Medium
Roadrunner Fire,2013-06-12,Amador,96.0,38.27783,-120.966016,6,2,Summer,Medium
Revis Fire,2013-06-12,Madera,75.0,37.169379,-119.75636,6,2,Summer,Medium
Clinton Fire,2013-06-13,Fresno,108.0,36.772425,-119.628389,6,3,Summer,Medium
Carstens Fire,2013-06-16,Mariposa,1708.0,37.58202,-119.91071,6,6,Summer,Large
PFE Fire,2013-06-13,Placer,237.0,38.729297,-121.380862,6,3,Summer,Large
Michelle Fire,2013-06-13,Fresno,35.0,36.763367,-119.558244,6,3,Summer,Small
Palmyrita Fire,2013-06-14,Riverside,40.0,34.001745,-117.302057,6,4,Summer,Medium
Rolling Fire,2013-06-16,Madera,480.0,37.015575,-119.78106,6,6,Summer,Large
California Fire,2013-06-18,Solano,124.0,38.08744,-122.13802,6,1,Summer,Medium
Sierra Fire,2013-06-17,Fresno,46.0,37.03087,-119.463757,6,0,Summer,Medium
George Fire,2013-06-25,Fresno,150.0,36.7218,-119.2248,6,1,Summer,Medium
Mount Fire,2013-06-20,Lake,25.0,38.98058,-122.81796,6,3,Summer,Small
Mills Fire,2013-06-28,San Bernardino,534.0,34.071556,-117.048397,6,4,Summer,Large
Concord Fire,2013-07-01,Contra Costa,274.0,39.90465,-121.74367,7,0,Summer,Large
Freeman Fire,2013-06-29,Monterey,105.0,36.1531,-120.8973,6,5,Summer,Medium
Kirker Fire,2013-07-01,Contra Costa,492.0,37.96866,-121.91453,7,0,Summer,Large
Fox Fire (formally 3-7 Fire),2013-07-03,Modoc,502.0,41.2415,-121.035,7,2,Summer,Large
Vina Fire,2013-07-04,Tehama,200.0,40.012398,-122.079871,7,3,Summer,Large
Grant Fire,2013-07-04,Alameda,50.0,37.7393,-121.5869,7,3,Summer,Medium
Fallon Fire,2013-07-06,Alameda,38.0,37.74241,-121.86216,7,5,Summer,Medium
Chariot Fire,2013-07-06,San Diego,7055.0,32.95435,-116.47381,7,5,Summer,Large
Adelaida Fire,2013-07-07,San Luis Obispo,85.0,35.62743,-120.83417,7,6,Summer,Medium
McGanney Fire,2013-07-08,Yuba,73.0,39.206,-121.31634,7,0,Summer,Medium
Fiddler Fire,2013-07-09,Shasta,43.0,40.373,-122.7338,7,1,Summer,Medium
Kyburz Fire,2013-07-08,El Dorado,572.0,38.774,-120.298,7,0,Summer,Large
Uvas Fire,2013-07-12,Santa Clara,50.0,37.1438,-121.7804,7,4,Summer,Medium
Diablo Fire,2013-07-12,Stanislaus,150.0,37.436,-121.1955,7,4,Summer,Medium
Mountain Fire,2013-07-15,Riverside,27531.0,33.7095,-116.72885,7,0,Summer,Large
Orleans Complex,2013-08-03,Humboldt,0.0,41.333,-123.376,8,5,Summer,Small
Silverwood Fire,2013-07-25,San Bernardino,75.0,34.316,-117.352,7,3,Summer,Medium
Flume Fire,2013-07-28,San Diego,25.0,32.612773,-116.707335,7,6,Summer,Small
Aspen Fire,2013-07-22,Fresno,22992.0,37.279,-119.318,7,0,Summer,Large
Salmon River Complex,2013-07-31,Siskiyou,14754.0,41.32,-123.176,7,2,Summer,Large
Branch Fire,2013-08-01,Butte,92.0,39.6612,-121.50354,8,3,Summer,Medium
Redlands Fire,2013-07-16,Riverside,150.0,33.990128,-117.164997,7,1,Summer,Medium
Relay Fire,2013-08-04,Riverside,60.0,33.91027,-116.99895,8,6,Summer,Medium
Water Fire,2013-07-23,Kern,612.0,34.90327,-118.93388,7,1,Summer,Large
Pratt Fire,2013-07-23,Mendocino,45.0,38.980846,-123.067671,7,1,Summer,Medium
Rancho Fire,2013-07-19,Kern,500.0,34.882,-118.9194,7,4,Summer,Large
Paskenta Fire,2013-07-19,Tehama,195.0,39.961309,-122.330879,7,4,Summer,Large
Lakeville Fire,2013-07-26,Sonoma,158.0,38.17693,-122.51253,7,4,Summer,Large
50 Fire,2013-07-19,"El Dorado, Sacramento",163.0,38.63987,-121.08438,7,4,Summer,Large
Heacock Fire,2013-07-19,Riverside,40.0,33.9634,-117.2508,7,4,Summer,Medium
Gilman Fire,2013-07-19,Riverside,15.0,33.94528,-117.09306,7,4,Summer,Small
Chuckwagon Fire,2013-07-22,Calaveras,31.0,37.965364,-120.696362,7,0,Summer,Small
Power Fire,2013-08-05,Tuolumne,1070.0,38.25108,-120.02778,8,0,Summer,Large
Falls Fire,2013-08-05,Riverside,1383.0,33.62236,-117.40288,8,0,Summer,Large
Tram Fire,2013-08-06,Riverside,60.0,38.838,-116.61,8,1,Summer,Medium
Indian Fire,2013-08-07,Lake,38.0,39.1591,-122.5906,8,2,Summer,Medium
Silver Fire,2013-08-07,Riverside,20292.0,33.86157,-116.90427,8,2,Summer,Large
Corral Complex,2013-08-10,Humboldt,12503.0,41.035,-123.488,8,5,Summer,Large
Cottonwood Fire,2013-08-15,Siskiyou,50.0,41.923323,-122.578393,8,3,Summer,Medium
Union Fire,2013-08-16,El Dorado,116.0,38.682378,-120.839075,8,4,Summer,Medium
Sharp Fire,2013-08-08,San Bernardino,243.0,34.35,-117.62,8,3,Summer,Large
Cloverdale Fire,2013-08-14,Shasta,27.0,40.473356,-122.48259,8,2,Summer,Small
Swedes Fire,2013-08-16,Butte,2264.0,39.446268,-121.38236,8,4,Summer,Large
American Fire,2013-08-10,Placer,27440.0,39.12,-120.65,8,5,Summer,Large
Coyote Fire,2013-08-09,Lassen,97.0,40.88886,-120.958126,8,4,Summer,Medium
Pierce Fire,2013-08-16,Riverside,40.0,33.570291,-116.10815,8,4,Summer,Medium
Double Fire,2013-08-16,Lake,70.0,39.013682,-122.491894,8,4,Summer,Medium
Bridges Fire,2013-08-17,Calaveras,46.0,38.06231,-120.45233,8,5,Summer,Medium
Cleghorn Fire,2013-08-17,San Bernardino,110.0,34.287,-117.451,8,5,Summer,Medium
Clover Fire,2013-09-09,Shasta,8073.0,40.498332,-122.535496,9,0,Fall,Large
Plumas Lightning Complex (Hough),2013-08-18,Plumas,513.0,40.00842,-120.764666,8,6,Summer,Large
Shirley Fire,2013-08-18,Kern,794.0,35.707,-118.588,8,6,Summer,Large
Burney Lightning Series (Warner Fire),2013-08-19,Shasta,196.0,40.5445,-121.3754,8,0,Summer,Large
Sierra Fire,2013-09-24,San Bernardino,200.0,34.2,-117.417,9,1,Fall,Large
Deer Fire,2013-08-23,Tehama,11429.0,40.04263,-121.85397,8,4,Summer,Large
Gobblers Fire,2013-08-20,San Bernardino,413.0,34.302,-117.598,8,1,Summer,Large
Fish Fire,2013-08-24,Tulare,2060.0,36.208,-118.444,8,5,Summer,Large
Empire Fire,2013-08-24,El Dorado,38.0,38.89555,-120.84716,8,5,Summer,Medium
Little Fire,2013-08-24,San Bernardino,97.0,33.642,-116.706,8,5,Summer,Medium
Chestnut Fire,2013-09-07,San Mateo,41.0,37.667295,-122.427285,9,5,Fall,Medium
Morgan Fire,2013-09-08,Contra Costa,3111.0,37.90757,-121.882582,9,6,Fall,Large
Angora Fire,2013-09-08,Tulare,134.0,36.258,-118.459,9,6,Fall,Medium
Liveoak Fire,2013-09-11,San Bernardino,73.0,34.003151,-117.106075,9,2,Fall,Medium
Madre Fire,2013-09-23,Los Angeles,268.0,34.149,-117.908,9,0,Fall,Large
Davis Creek Complex,2013-09-05,Modoc,97.0,41.73325,-120.375,9,3,Fall,Medium
Tyler Fire,2013-08-31,Nevada,52.0,39.333401,-121.107022,8,5,Summer,Medium
Centerville Fire,2013-08-31,Butte,80.0,39.731878,-121.713938,8,5,Summer,Medium
Rail Fire,2013-09-07,Modoc,68.0,41.569,-120.959,9,5,Fall,Medium
Rim Fire,2013-08-17,Tuolumne,257314.0,37.857,-120.086,8,5,Summer,Large
Lyon Fire,2013-09-09,San Diego,263.0,32.710918,-116.746023,9,0,Fall,Large
Lakeshore Fire,2013-09-15,Lake,30.0,38.9777,-122.683,9,6,Fall,Small
Creek Fire,2013-09-24,San Luis Obispo,94.0,35.4393,-120.8358,9,1,Fall,Medium
Highland Fire,2013-09-28,Mendocino,98.0,38.9252,-122.966,9,5,Fall,Medium
Putah Fire,2013-10-03,Napa,376.0,38.628,-122.289,10,3,Fall,Large
Crane Fire,2013-10-04,Sonoma,159.0,38.34599,-122.6503,10,4,Fall,Large
DeLuz Fire,2013-10-05,San Diego,2236.0,33.341,-117.3092,10,5,Fall,Large
Summit Fire,2013-10-04,Butte,305.0,39.439,-121.497,10,4,Fall,Large
Baker Fire,2013-10-06,Orange,40.0,33.7655,-117.6649,10,6,Fall,Medium
Capay Fire,2013-11-04,Yolo,163.0,38.67479,-122.08725,11,0,Fall,Large
Dersch Fire,2013-11-07,Shasta,33.0,40.483662,-122.140914,11,3,Fall,Small
Toro Fire,2013-11-08,San Luis Obispo,51.0,35.457978,-120.751555,11,4,Fall,Medium
Cantwell Fire,2013-11-08,Lake,120.0,38.882214,-122.567525,11,4,Fall,Medium
Silverado Fire,2013-11-21,Napa,190.0,38.382,-122.311,11,3,Fall,Large
Wheeler Fire,2013-11-14,Ventura,64.0,34.384,-119.13249,11,3,Fall,Medium
Retek Fire,2013-11-22,Mendocino,82.0,39.0442,-123.1478,11,4,Fall,Medium
McCabe Fire,2013-11-22,Sonoma,3505.0,38.8167,-122.8498,11,4,Fall,Large
Bruner Fire,2013-11-23,Lake,50.0,39.0448,-122.7656,11,5,Fall,Medium
Dam Fire,2013-11-23,Lake,23.0,38.9289,-122.5818,11,5,Fall,Small
Grant Fire,2013-12-31,Santa Clara,40.0,37.342186,-121.717706,12,1,Winter,Medium
Campbell Fire,2014-01-02,Tehama,865.0,40.134597,-121.790183,1,3,Winter,Large
Colby Fire,2014-01-16,Los Angeles,1952.0,34.1703,-117.8816,1,3,Winter,Large
Red Fire,2014-01-04,Humboldt,333.0,40.884415,-123.773779,1,5,Winter,Large
Lake Fire,2014-01-25,Fresno,106.0,36.8266,-119.3415,1,5,Winter,Medium
Gun Fire,2014-03-08,San Diego,125.0,32.81,-116.49,3,5,Spring,Medium
Encinal Fire,2014-03-19,Monterey,400.0,36.6313,-121.4819,3,2,Spring,Large
Van Buren Fire,2014-03-28,Riverside,57.0,33.5982,-116.1985,3,4,Spring,Medium
Bridges Fire,2014-04-19,Inyo,113.0,37.399,-118.352,4,5,Spring,Medium
Etiwanda Fire,2014-04-30,San Bernardino,2143.0,34.169346,-117.547374,4,2,Spring,Large
Jacumba Fire,2014-05-05,San Diego,29.0,32.665,-116.222,5,0,Spring,Small
Bernardo Fire,2014-05-13,San Diego,1548.0,33.003,-117.133,5,1,Spring,Large
San Lucas Fire,2014-04-30,Monterey,75.0,36.103,-121.117,4,2,Spring,Medium
Miguelito Fire,2014-05-13,Santa Barbara,632.0,34.609,-120.454,5,1,Spring,Large
Tomahawk Fire,2014-05-14,San Diego,5367.0,33.3529,-117.284889,5,2,Spring,Large
San Mateo Fire,2014-05-16,San Diego,1457.0,33.417572,-117.550567,5,4,Spring,Large
Highway Fire,2014-05-14,San Diego,380.0,33.312,-117.162,5,2,Spring,Large
Fiddler Fire,2014-05-14,Shasta,50.0,40.39,-122.721,5,2,Spring,Medium
Cocos Fire,2014-05-14,San Diego,1995.0,33.1137,-117.1599,5,2,Spring,Large
Poinsettia Fire,2014-05-14,San Diego,600.0,33.1109,-117.279,5,2,Spring,Large
Indian Fire,2014-05-25,Lake,175.0,39.1647,-122.5983,5,6,Spring,Large
59 Fire,2014-06-04,Tuolumne,402.0,37.76617,-120.45087,6,2,Summer,Large
Hetch Hetchy Fire,2014-06-05,Tuolumne,269.0,37.787,-120.452,6,3,Summer,Large
Hall Fire,2014-06-11,Fresno,25.0,36.742747,-119.241493,6,2,Summer,Small
Morgan Fire,2014-06-09,Fresno,40.0,36.991825,-119.525506,6,0,Summer,Medium
Norman Fire,2014-06-12,Solano,70.0,121.999,38.453,6,3,Summer,Medium
Haigh Fire,2014-06-10,Mariposa,130.0,37.7103,-120.197,6,1,Summer,Medium
Shirley Fire,2014-06-13,Kern,3895.0,35.70683,-118.555527,6,4,Summer,Large
Tehama Fire,2014-06-13,Tehama,225.0,40.009827,-122.345078,6,4,Summer,Large
Reed Fire,2014-06-20,Calaveras,120.0,120.679019,38.178241,6,4,Summer,Medium
Oak Fire,2014-06-22,Calaveras,85.0,38.058,-120.66,6,6,Summer,Medium
Butts Fire,2014-07-01,"Napa, Lake",4300.0,38.664,-122.454,7,1,Summer,Large
Bible Fire,2014-07-09,El Dorado,30.0,38.608336,-120.703238,7,2,Summer,Small
Bully Fire,2014-07-11,Shasta,12661.0,40.4314,-122.750788,7,4,Summer,Large
Monticello Fire,2014-07-04,Yolo,6488.0,38.512,-122.104,7,4,Summer,Large
Gulch Fire,2014-07-03,Modoc,1469.0,41.489,-120.904,7,3,Summer,Large
Modoc Lightning Complex,2014-07-01,Modoc,1651.0,41.89,-120.79,7,1,Summer,Large
West Fire,2014-07-01,Trinity,15.0,40.41,-123.24,7,1,Summer,Small
Banner Fire,2014-07-03,San Diego,217.0,33.078948,-116.576454,7,3,Summer,Large
Marsh Fire,2014-07-11,Contra Costa,80.0,37.5359,-121.5118,7,4,Summer,Medium
Cassel Fire,2014-07-05,Shasta,75.0,40.5719,-121.3415,7,5,Summer,Medium
Interlake Fire,2014-07-07,San Luis Obispo,47.0,35.8218,-121.0226,7,0,Summer,Medium
Hutto Fire,2014-07-07,Nevada,38.0,39.1871,-121.2687,7,0,Summer,Medium
Dry Fire,2014-07-09,Shasta,143.0,40.6569,-122.2215,7,2,Summer,Medium
Nicolls Fire ,2014-07-11,Kern,1680.0,35.642,-118.15,7,4,Summer,Large
Wildlife Fire,2014-07-14,Butte,72.0,39.4664,-121.6129,7,0,Summer,Medium
Sand Fire,2014-07-25,"Amador, El Dorado",4240.0,38.5691,-120.7819,7,4,Summer,Large
Bald Fire,2014-07-30,Shasta,39736.0,40.901,-121.368,7,2,Summer,Large
Day Fire,2014-07-30,Modoc,13153.0,41.1336,-121.2144,7,2,Summer,Large
Oregon Gulch Fire (part of the Beaver Complex),2014-07-30,Siskiyou,35302.0,42.048,-122.345,7,2,Summer,Large
Eiler Fire,2014-07-31,Shasta,32416.0,40.72,-121.562,7,3,Summer,Large
Coffee Fire,2014-07-30,Shasta,6258.0,41.141,-122.805,7,2,Summer,Large
Little Deer Fire,2014-07-31,Siskiyou,5503.0,41.682,-122.127,7,3,Summer,Large
Leopard Fire,2014-08-29,Shasta,25.0,40.0,29.24,8,4,Summer,Small
Pines Fire,2014-08-26,Madera,10.0,37.0,18.4,8,1,Summer,Small
Junction Fire,2014-08-18,Madera,612.0,37.3433,-119.6581,8,0,Summer,Large
Little Fire,2014-08-12,Modoc,101.0,41.507,-121.266,8,1,Summer,Medium
Happy Camp Complex,2014-08-11,Siskiyou,0.0,41.796,-123.374,8,0,Summer,Small
Border Fire,2014-08-16,San Diego,20.0,32.59154,-116.89516,8,5,Summer,Small
Shoemaker Fire,2014-08-14,Los Angeles,190.0,34.235,-117.771,8,3,Summer,Large
Tecolote Fire,2014-08-17,Los Angeles,274.0,34.267,-117.867,8,6,Summer,Large
Boca Fire,2014-08-18,Nevada,84.0,39.3918,-120.0805,8,0,Summer,Medium
Way Fire,2014-08-18,Kern,4045.0,35.7206,-118.4747,8,0,Summer,Large
Oregon Fire,2014-08-24,Trinity,461.0,40.7412,-122.946,8,6,Summer,Large
Gulch Fire,2014-09-10,Shasta,1375.0,40.7101,-122.171,9,2,Fall,Large
Jackson Fire,2014-09-04,Tuolumne,70.0,37.8316,-120.3434,9,3,Fall,Medium
Bald Hill 3 Fire,2014-09-12,Humboldt,210.0,41.134,-123.753,9,4,Fall,Large
Stage Coach Fire,2014-09-11,Napa,27.0,38.695961,-122.384054,9,3,Fall,Small
Dog Rock Fire,2014-10-07,Mariposa,311.0,37.0,40.34,10,1,Fall,Large
King Fire,2014-09-13,El Dorado,97717.0,38.805437,-120.629714,9,5,Fall,Large
Stephens Fire,2015-02-24,Siskiyou,200.0,41.485,-121.851,2,1,Winter,Large
Silverado Fire,2014-09-12,Orange,968.0,33.748,-117.601,9,4,Fall,Large
Dog Bar Fire,2014-09-13,Nevada,247.0,39.113682,-120.999508,9,5,Fall,Large
Courtney Fire,2014-09-14,Madera,320.0,37.311915,-119.604124,9,6,Fall,Large
Boles Fire,2014-09-15,Siskiyou,516.0,41.42384,-122.37432,9,0,Fall,Large
Bane Fire,2014-10-16,San Bernardino,48.0,33.93869,-117.70643,10,3,Fall,Medium
Irene Fire,2014-09-14,El Dorado,94.0,38.59,-120.028,9,6,Fall,Medium
Cascade Fire,2014-09-25,El Dorado,20.0,38.9195001,-120.1140659,9,3,Fall,Small
Otay Fire,2015-06-26,San Diego,80.0,32.6449163,-116.9454387,6,4,Summer,Medium
Ward Fire,2015-04-13,Plumas,137.0,40.05083333,-120.7016667,4,0,Spring,Medium
Highway Fire,2015-04-18,Riverside,1049.0,33.884313,-117.642759,4,5,Spring,Large
Forebay Fire,2015-05-11,Merced,692.0,37.08312,-121.06963,5,0,Spring,Large
Bald Fire,2015-06-10,Humboldt,20.0,41.1513,-123.8292,6,2,Summer,Small
Saddle Fire ,2015-06-10,Trinity,1542.0,40.924,-123.168,6,2,Summer,Large
Pass Fire,2015-06-15,Kern,67.0,35.77937,-120.19482,6,0,Summer,Medium
Chiles Fire,2015-06-16,Napa,38.0,38.5287,-122.3415,6,1,Summer,Medium
North Fire,2015-06-16,Amador,60.0,38.260777,-121.135426,6,1,Summer,Medium
Fork Fire,2015-06-17,Tehama,55.0,40.0133,-122.552,6,2,Summer,Medium
Wildcat Fire,2015-06-17,San Diego,171.0,32.9421,-116.8534,6,2,Summer,Large
Lake Fire,2015-06-17,San Bernardino,31359.0,34.16027778,-116.8927778,6,2,Summer,Large
Cook Fire,2015-06-18,Yuba,158.0,39.2688,-121.26471,6,3,Summer,Large
Corrine Fire,2015-06-18,Madera,920.0,37.165767,-119.523943,6,3,Summer,Large
Red Fire,2015-06-21,Madera,135.0,37.072561,-119.6958,6,6,Summer,Medium
Dixie Fire,2015-06-19,Lassen,60.0,40.875667,-121.033667,6,4,Summer,Medium
Washington Fire,2015-06-19,Alpine,0.0,38.598056,-119.751944,6,4,Summer,Small
Calgrove Fire ,2015-06-24,Los Angeles,415.0,34.361007,-118.535793,6,2,Summer,Large
Sterling Fire,2015-06-25,San Bernardino,100.0,34.165974,-117.243878,6,3,Summer,Medium
Pleasure Fire,2015-06-27,Napa,19.0,38.519132,-122.181878,6,5,Summer,Small
Covelo Fire,2015-06-28,Mendocino,35.0,39.7806004,-123.248214,6,6,Summer,Small
Black Fire,2015-07-04,Tehama,170.0,39.8448,-122.3638,7,5,Summer,Large
Soda Fire,2015-07-04,Mendocino,23.0,39.0263,-123.303,7,5,Summer,Small
Sky Fire,2015-07-06,Solano,150.0,38.4113,-122.0789,7,0,Summer,Medium
Ascot Fire,2015-07-10,Solano,40.0,38.1029,-122.1578,7,4,Summer,Medium
Keswick Fire,2015-07-07,Shasta,18.0,40.5953,-122.4397,7,1,Summer,Small
Mill 2 Fire,2015-07-12,San Bernardino,54.0,34.0783472,-117.0487863,7,6,Summer,Medium
Deer Fire,2015-07-10,San Luis Obispo,95.0,35.7183,-121.0157,7,4,Summer,Medium
Spider Fire,2015-07-12,Riverside,21.0,33.986204,-117.43942,7,6,Summer,Small
241 Fire,2015-07-13,Orange,214.0,33.7626,-117.7274,7,0,Summer,Large
Cooley Fire,2015-07-13,Siskiyou,181.0,41.8048,-122.5029,7,0,Summer,Large
Lake Fire,2015-07-16,San Diego,25.0,33.21407,-116.73472,7,3,Summer,Small
North Fire,2015-07-17,San Bernardino,4250.0,34.339,-117.478,7,4,Summer,Large
Pines Fire ,2015-07-17,Los Angeles,200.0,34.367,-117.683,7,4,Summer,Large
Betabel Fire,2015-07-20,San Benito,25.0,36.8727,-121.5681,7,0,Summer,Small
Triple Fire,2015-07-21,Tulare,430.0,36.085212,-118.824235,7,1,Summer,Large
Dorris Fire,2015-07-21,Siskiyou,24.0,41.999341,-121.891226,7,1,Summer,Small
Wragg Fire,2015-07-22,Napa,8051.0,38.4994,-122.1145,7,2,Summer,Large
Creek Fire,2016-10-10,Napa,65.0,38.40958,-122.43172,10,0,Fall,Medium
Baxter Fire,2015-07-22,Placer,26.0,38.9361,-121.1548,7,2,Summer,Small
Kyburz Fire,2015-07-23,El Dorado,75.0,38.776,-120.404,7,3,Summer,Medium
3-11 Fire,2015-07-23,Modoc,116.0,41.29226,-121.172117,7,3,Summer,Medium
3-12 Fire,2015-07-23,Modoc,77.0,40.856422,-121.101623,7,3,Summer,Medium
Cutca Fire,2015-07-24,San Diego,167.0,33.383889,-116.868611,7,4,Summer,Large
Park Fire,2015-07-24,San Diego,25.0,32.682547,-116.51684,7,4,Summer,Small
Lowell Fire,2015-07-25,Nevada,2304.0,39.192088,-120.882313,7,5,Summer,Large
Queen Fire,2015-07-24,Humboldt,158.0,41.295667,-123.784067,7,4,Summer,Large
Willow Fire,2015-07-25,Madera,5702.0,37.279722,-119.50014,7,5,Summer,Large
Mark Fire,2015-08-13,Calaveras,114.0,38.052,-120.5577,8,3,Summer,Medium
Sullivan Fire,2015-07-28,Stanislaus,40.0,37.24523,-121.20324,7,1,Summer,Medium
Buck Fire,2015-07-28,Humboldt,16.0,40.1093,-123.774,7,1,Summer,Small
Cabin Fire,2015-07-19,Tulare,6980.0,36.24,-118.54,7,6,Summer,Large
Swedes Fire,2015-07-29,Butte,400.0,39.43963,-121.38794,7,2,Summer,Large
Rocky Fire,2015-07-29,Lake,69636.0,38.8863538,-122.4762475,7,2,Summer,Large
Mallard Fire,2015-07-29,Shasta,75.0,40.509552,-122.199227,7,2,Summer,Medium
China Fire,2015-07-29,Shasta,212.0,40.415108,-122.439939,7,2,Summer,Large
Big Creek Fire,2015-07-29,Tuolumne,204.0,37.823,-120.15644,7,2,Summer,Large
Tulloch Fire,2015-08-15,Tuolumne,112.0,37.83618,-120.61691,8,5,Summer,Medium
Vasco Fire,2015-07-30,Contra Costa,195.0,37.81629,-121.68113,7,3,Summer,Large
Sprig Fire,2015-07-30,Shasta,90.0,40.49865,-122.20109,7,3,Summer,Medium
Advance Fire,2015-07-30,Tulare,86.0,36.49845,-118.9009,7,3,Summer,Medium
Mendocino Lightning Fires,2015-07-30,Mendocino,50.0,39.43301,-123.36316,7,3,Summer,Medium
Anza Fire,2015-08-10,Riverside,500.0,33.5736,-116.5387,8,0,Summer,Large
Frog Fire,2015-07-30,Modoc,4863.0,41.399,-121.392,7,3,Summer,Large
Fern Fire,2015-08-02,Shasta,75.0,40.67868,-121.93244,8,6,Summer,Medium
White Fire,2015-08-01,Santa Barbara,52.0,34.9522,-120.2903,8,5,Summer,Medium
Francis Fire,2015-08-03,Yuba,30.0,39.33303,-121.18735,8,0,Summer,Small
Point Fire,2015-08-03,Shasta,59.0,40.3929,-122.40546,8,0,Summer,Medium
Dodge Fire,2015-08-03,Lassen,10570.0,40.938,-120.105,8,0,Summer,Large
De Luz Fire,2015-08-09,San Diego,55.0,33.4115972,-117.2886249,8,6,Summer,Medium
36 Fire,2015-08-08,Tehama,110.0,40.3506868,-121.7786799,8,5,Summer,Medium
Jerusalem Fire,2015-08-09,"Lake, Napa",25118.0,38.8142503,-122.4867319,8,6,Summer,Large
Cuesta Fire,2015-08-16,San Luis Obispo,2446.0,35.3477,-120.6269,8,6,Summer,Large
Horse Fire,2015-08-18,Humboldt,146.0,40.1058823,-124.0720419,8,1,Summer,Medium
Tesla Fire,2015-08-19,Alameda,2850.0,37.3845,-121.3732,8,2,Summer,Large
Grade Fire,2015-08-24,Lake,22.0,38.831478,-122.53428,8,0,Summer,Small
Peterson Fire,2015-08-22,Lake,215.0,38.925764,-122.879272,8,5,Summer,Large
Summit Fire,2015-08-23,San Bernardino,55.0,34.23,-116.883,8,6,Summer,Medium
Democrat Fire,2015-08-25,Trinity,128.0,40.724898,-122.96174,8,1,Summer,Medium
Elk Fire,2015-09-02,Lake,673.0,55.23,-122.0,9,2,Fall,Large
