incident_name,incident_dateonly_created,incident_county,incident_acres_burned,incident_latitude,incident_longitude,MONTH_fire,DAY_OF_WEEK_fire,SEASON_fire,FIRE_SIZE_CAT,DATE,TAVG,TMAX,TMIN,AWND,PRCP,TAVG_CAT,TMAX_CAT,TMIN_CAT,PRCP_CAT,MONTH_weather,DAY_OF_WEEK_weather,SEASON_weather
Cornetts Fire,2020-06-13,Mariposa,191.0,37.40827,-120.08522,6,5,Summer,Large,2020-06-13,,24.4,16.7,2.6,0.0,Unknown,Medium,Medium,Dry,6,5,Summer
Dawson Fire ,2020-06-13,Riverside,10.0,33.776033,-117.461925,6,5,Summer,Small,2020-06-13,,24.4,16.7,2.6,0.0,Unknown,Medium,Medium,Dry,6,5,Summer
Hopland Fire,2020-06-13,Mendocino,34.0,39.14783,-80.49163,6,5,Summer,Small,2020-06-13,,24.4,16.7,2.6,0.0,Unknown,Medium,Medium,Dry,6,5,Summer
Drum Fire,2020-06-14,Santa Barbara,696.0,34.63309,-120.28867,6,6,Summer,Large,2020-06-14,,,,,0.0,Unknown,,,Dry,6,6,Summer
Avila Fire,2020-06-15,San Luis Obispo,445.0,35.17977,-120.69959,6,0,Summer,Large,2020-06-15,,26.1,17.8,2.3,0.0,Unknown,Medium,High,Dry,6,0,Summer
Riata Fire ,2020-06-16,San Luis Obispo,18.0,35.40953,-120.56823,6,1,Summer,Small,2020-06-16,,25.0,18.3,2.4,0.0,Unknown,Medium,High,Dry,6,1,Summer
Bitter Fire ,2020-06-16,San Benito,813.0,36.3011,-120.92925,6,1,Summer,Large,2020-06-16,,25.0,18.3,2.4,0.0,Unknown,Medium,High,Dry,6,1,Summer
Walker Fire,2020-06-16,Calaveras,1455.0,38.07741,-120.72958,6,1,Summer,Large,2020-06-16,,25.0,18.3,2.4,0.0,Unknown,Medium,High,Dry,6,1,Summer
Baker Fire,2020-06-17,Kern,165.0,35.27678,-118.6894,6,2,Summer,Large,2020-06-17,,24.4,17.2,2.6,0.0,Unknown,Medium,High,Dry,6,2,Summer
Gyle Fire,2020-06-17,Tehama,68.0,40.000132,-122.205628,6,2,Summer,Medium,2020-06-17,,24.4,17.2,2.6,0.0,Unknown,Medium,High,Dry,6,2,Summer
Ridge Fire,2020-06-17,Monterey,83.0,35.9497,-121.42113,6,2,Summer,Medium,2020-06-17,,24.4,17.2,2.6,0.0,Unknown,Medium,High,Dry,6,2,Summer
Liberty Fire,2020-06-17,San Joaquin,89.0,38.23432,-121.20828,6,2,Summer,Medium,2020-06-17,,24.4,17.2,2.6,0.0,Unknown,Medium,High,Dry,6,2,Summer
Nelson Fire ,2020-06-17,Butte,95.0,39.52408,-121.60037,6,2,Summer,Medium,2020-06-17,,24.4,17.2,2.6,0.0,Unknown,Medium,High,Dry,6,2,Summer
Nelson Fire,2020-06-18,Placer,110.0,38.89178,-121.33956,6,3,Summer,Medium,2020-06-18,,23.9,17.2,1.9,0.0,Unknown,Medium,High,Dry,6,3,Summer
Fork Fire,2020-06-18,Tulare,130.0,36.37085,-118.845123,6,3,Summer,Medium,2020-06-18,,23.9,17.2,1.9,0.0,Unknown,Medium,High,Dry,6,3,Summer
Teddy Fire,2020-06-18,Butte,13.0,39.37577,-121.45372,6,3,Summer,Small,2020-06-18,,23.9,17.2,1.9,0.0,Unknown,Medium,High,Dry,6,3,Summer
Springs Fire,2020-06-19,Tulare,217.0,35.89133,-118.8613,6,4,Summer,Large,2020-06-19,,,,,0.0,Unknown,,,Dry,6,4,Summer
Honcut Fire,2020-06-20,Butte,89.0,39.36894,-121.53976,6,5,Summer,Medium,2020-06-20,,25.0,18.9,2.3,0.0,Unknown,Medium,High,Dry,6,5,Summer
East Fire,2020-06-20,Modoc,11.0,41.5017,-120.54161,6,5,Summer,Small,2020-06-20,,25.0,18.9,2.3,0.0,Unknown,Medium,High,Dry,6,5,Summer
Quarter Fire,2020-06-21,Tuolumne,10.0,38.08264,-120.20316,6,6,Summer,Small,2020-06-21,,,,,0.0,Unknown,,,Dry,6,6,Summer
Hunter Fire,2020-06-21,Monterey,195.0,35.90835,-121.08753,6,6,Summer,Large,2020-06-21,,,,,0.0,Unknown,,,Dry,6,6,Summer
Stage Fire,2020-06-21,Monterey,52.0,36.69845,-121.57407,6,6,Summer,Medium,2020-06-21,,,,,0.0,Unknown,,,Dry,6,6,Summer
Grade Fire ,2020-06-22,Tulare,1050.0,36.5537,-119.19677,6,0,Summer,Large,2020-06-22,,24.4,18.3,2.1,0.0,Unknown,Medium,High,Dry,6,0,Summer
Rico Fire ,2020-06-22,Monterey,348.0,35.9789,-120.87858,6,0,Summer,Large,2020-06-22,,24.4,18.3,2.1,0.0,Unknown,Medium,High,Dry,6,0,Summer
River Fire,2020-06-22,San Luis Obispo,15.0,35.62906,-120.68326,6,0,Summer,Small,2020-06-22,,24.4,18.3,2.1,0.0,Unknown,Medium,High,Dry,6,0,Summer
R-2 Fire,2020-06-23,Lassen,563.0,40.43203,-120.28147,6,1,Summer,Large,2020-06-23,,,,,0.0,Unknown,,,Dry,6,1,Summer
Sycamore Fire,2020-06-23,Fresno,19.0,36.97511,-119.33439,6,1,Summer,Small,2020-06-23,,,,,0.0,Unknown,,,Dry,6,1,Summer
R-3 Fire,2020-06-24,Lassen,210.0,40.44793,-120.04635,6,2,Summer,Large,2020-06-24,,27.2,18.3,1.8,0.0,Unknown,High,High,Dry,6,2,Summer
58 Fire,2020-06-24,Riverside,12.0,33.27665,-115.96594,6,2,Summer,Small,2020-06-24,,27.2,18.3,1.8,0.0,Unknown,High,High,Dry,6,2,Summer
Diablo Fire,2020-06-25,Stanislaus,202.0,37.46265,-121.18355,6,3,Summer,Large,2020-06-25,,23.9,17.8,2.4,0.0,Unknown,Medium,High,Dry,6,3,Summer
Bend Fire,2020-06-25,San Luis Obispo,263.0,35.30742,-119.88048,6,3,Summer,Large,2020-06-25,,23.9,17.8,2.4,0.0,Unknown,Medium,High,Dry,6,3,Summer
Aurora Fire,2020-06-26,Mono,280.0,38.22554,-119.00289,6,4,Summer,Large,2020-06-26,,,,,0.0,Unknown,,,Dry,6,4,Summer
Indian Fire,2020-06-26,Riverside,59.0,33.565093,-116.750925,6,4,Summer,Medium,2020-06-26,,,,,0.0,Unknown,,,Dry,6,4,Summer
Poeville Fire,2020-06-27,State of Nevada,2975.0,39.32596,-119.81098,6,5,Summer,Large,2020-06-27,,,,,0.0,Unknown,,,Dry,6,5,Summer
Pass Fire,2020-06-28,Merced,2192.0,37.06641,-121.21912,6,6,Summer,Large,2020-06-28,,,,,0.0,Unknown,,,Dry,6,6,Summer
Gage Fire,2020-06-28,San Luis Obispo,33.0,35.69993,-120.96759,6,6,Summer,Small,2020-06-28,,,,,0.0,Unknown,,,Dry,6,6,Summer
Muck Fire ,2020-06-29,Lassen,12.0,41.0336731,-121.2199939,6,0,Summer,Small,2020-06-29,,,,,0.0,Unknown,,,Dry,6,0,Summer
Avacado Fire,2020-06-30,Butte,136.0,39.3784,-121.4319,6,1,Summer,Medium,2020-06-30,,24.4,18.3,2.2,0.0,Unknown,Medium,High,Dry,6,1,Summer
Flat Fire,2020-06-30,Trinity,62.0,40.791509,-123.437051,6,1,Summer,Medium,2020-06-30,,24.4,18.3,2.2,0.0,Unknown,Medium,High,Dry,6,1,Summer
Rowher Fire,2020-07-01,Los Angeles,648.0,34.542742,-118.324601,7,2,Summer,Large,2020-07-01,,,,,0.0,Unknown,,,Dry,7,2,Summer
Bena Fire,2020-07-01,Kern,4000.0,35.310132,-118.702732,7,2,Summer,Large,2020-07-01,,,,,0.0,Unknown,,,Dry,7,2,Summer
Bonadelle Fire,2020-07-02,Madera,500.0,36.9678542,-119.9252132,7,3,Summer,Large,2020-07-02,,25.0,18.3,2.3,0.0,Unknown,Medium,High,Dry,7,3,Summer
Soda Fire ,2020-07-03,San Luis Obispo,157.0,35.393889,-120.053275,7,4,Summer,Large,2020-07-03,,,,,0.0,Unknown,,,Dry,7,4,Summer
Mount R Fire,2020-07-03,San Bernardino,62.0,34.182436,-117.124353,7,4,Summer,Medium,2020-07-03,,,,,0.0,Unknown,,,Dry,7,4,Summer
Sheridan Fire,2020-07-04,Alameda,108.0,37.536015,-121.876277,7,5,Summer,Medium,2020-07-04,,,,,0.0,Unknown,,,Dry,7,5,Summer
Park Fire,2020-07-04,Santa Clara,353.0,37.166733,-121.567505,7,5,Summer,Large,2020-07-04,,,,,0.0,Unknown,,,Dry,7,5,Summer
Lake Fire,2020-07-05,San Luis Obispo,583.0,35.351065,-120.00485,7,6,Summer,Large,2020-07-05,,,,,0.0,Unknown,,,Dry,7,6,Summer
Cotton Fire,2020-07-05,Merced,100.0,37.091637,-121.086625,7,6,Summer,Medium,2020-07-05,,,,,0.0,Unknown,,,Dry,7,6,Summer
Kings Fire,2020-07-05,Fresno,67.0,36.750186,-119.116536,7,6,Summer,Medium,2020-07-05,,,,,0.0,Unknown,,,Dry,7,6,Summer
Crews Fire,2020-07-05,Santa Clara,5513.0,37.034839,-121.501532,7,6,Summer,Large,2020-07-05,,,,,0.0,Unknown,,,Dry,7,6,Summer
Soledad Fire,2020-07-05,Los Angeles,1525.0,34.467915,-118.328877,7,6,Summer,Large,2020-07-05,,,,,0.0,Unknown,,,Dry,7,6,Summer
California Fire,2020-07-06,Contra Costa,298.0,38.02996,-122.25471,7,0,Summer,Large,2020-07-06,,,,,0.0,Unknown,,,Dry,7,0,Summer
Patterson Fire,2020-07-06,San Joaquin,150.0,37.71984,-121.53524,7,0,Summer,Medium,2020-07-06,,,,,0.0,Unknown,,,Dry,7,0,Summer
Mountain Meadow Fire ,2020-07-06,Solano,75.0,38.21614,-122.12447,7,0,Summer,Medium,2020-07-06,,,,,0.0,Unknown,,,Dry,7,0,Summer
Nail Fire,2020-07-07,Colusa,25.0,39.35498,-122.65813,7,1,Summer,Small,2020-07-07,,26.1,18.3,3.0,0.0,Unknown,Medium,High,Dry,7,1,Summer
Brandon Fire,2020-07-07,El Dorado,32.0,38.58488,-120.941267,7,1,Summer,Small,2020-07-07,,26.1,18.3,3.0,0.0,Unknown,Medium,High,Dry,7,1,Summer
Tripp Fire ,2020-07-09,Riverside,10.0,33.551838,-116.7464168,7,3,Summer,Small,2020-07-09,,26.1,18.9,2.2,0.0,Unknown,Medium,High,Dry,7,3,Summer
Alum Fire,2020-07-11,Santa Clara,31.0,37.37731,-121.79349,7,5,Summer,Small,2020-07-11,,,,,0.0,Unknown,,,Dry,7,5,Summer
Power Fire,2020-07-11,Madera,108.0,37.1487,-119.50307,7,5,Summer,Medium,2020-07-11,,,,,0.0,Unknown,,,Dry,7,5,Summer
